Size, DGEMMBLAS_Time,DGEMM_opt_1_Time
100,0.003320,0.003102
500,0.448869,0.408820
1000,5.648105,3.081052
1500,19.067378,10.407292
2000,46.910169,24.665492
2500,96.415152,48.514860
3000,171.320660,82.914649
3500,280.645233,131.713943
4000,418.458635,194.834375
4500,562.881362,276.704708
5000,800.732466,381.320383
5500,1277.674776,507.645960
6000,1738.708112,652.985235
6500,2357.452919,834.311422
7000,3174.290302,1048.783234
7500,4101.703884,1303.411042
8000,5376.005396,1565.164339
8500,6784.617158,1876.978748
9000,9530.543311,2638.096223
9500,9752.770929,2531.320087
10000,11789.486817,3094.278876
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,

Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003514;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003479;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003563;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003859;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003525;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003612;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003513;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003572;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003421;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.003418;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003465
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003343
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003532
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003514
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003436
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003329
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003335
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003287
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003338
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003505
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.005807
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
100;0.000000;0.003348
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
1000;0.000000;3.305655
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
1000;5.626688;0.000000
Size; DGEMMBLAS_Time;DGEMM_opt_1_Time
1000;5.651047;3.220273
